country_name,life_expectancy,ncd_share,communicable_share
Japan,83.9963414634,0.8830674447815064,0.06766875933292325
Switzerland,83.4536585366,0.877732044087743,0.05738672529056644
Australia,83.2,0.9031001886642882,0.03177761603914942
Sweden,83.1097560976,0.8979787201325261,0.04781673824824675
Spain,83.0829268293,0.8847981590763593,0.05849056846344006
Ireland,83.056097561,0.8997887758865336,0.05928631293014032
Luxembourg,83.0463414634,0.8721954237243289,0.05847543771609183
Italy,82.9,0.8880879315503092,0.05472088543538299
Singapore,82.8951219512,0.7948909208774645,0.16388946358690318
New Zealand,82.7609756098,0.9014483830683008,0.03713430173769994
